global_step,episode,episode_return,episode_length,policy_loss,value_loss,entropy,kl,eval_return
59392,439,,,-0.005015531092067249,93.88563008308411,0.5892233500257135,0.005580648558174068,
59515,439,239.0,239,,,,,
59696,440,181.0,181,,,,,
59907,441,211.0,211,,,,,
60069,442,162.0,162,,,,,
60328,443,259.0,259,,,,,
60717,444,389.0,389,,,,,
60915,445,198.0,198,,,,,
61295,446,380.0,380,,,,,
61440,447,,,-0.006702673778636381,88.82829010486603,0.5907764622941614,0.003751571381411636,500.0
61795,447,500.0,500,,,,,
61950,448,155.0,155,,,,,
62310,449,360.0,360,,,,,
62810,450,500.0,500,,,,,
63310,451,500.0,500,,,,,
63468,452,158.0,158,,,,,
63488,453,,,-0.0025540171016473325,91.17396178245545,0.5761613195762039,0.0032502664122944294,
63545,453,77.0,77,,,,,
63799,454,254.0,254,,,,,
64070,455,271.0,271,,,,,
64570,456,500.0,500,,,,,
65059,457,489.0,489,,,,,
65263,458,204.0,204,,,,,
65536,459,,,-0.0029348320967983454,91.21035690307617,0.572131603769958,0.004424006236556729,
65763,459,500.0,500,,,,,
66263,460,500.0,500,,,,,
66692,461,429.0,429,,,,,
66965,462,273.0,273,,,,,
67465,463,500.0,500,,,,,
67584,464,,,-0.0012361831031739712,91.86817111968995,0.5890146533027292,0.0023055371886887017,
67688,464,223.0,223,,,,,
67904,465,216.0,216,,,,,
68282,466,378.0,378,,,,,
68782,467,500.0,500,,,,,
69282,468,500.0,500,,,,,
69632,469,,,-0.004069104438531213,91.51151564121247,0.5819157775491476,0.0053549969301823225,
69782,469,500.0,500,,,,,
69922,470,140.0,140,,,,,
70422,471,500.0,500,,,,,
70834,472,412.0,412,,,,,
71334,473,500.0,500,,,,,
71680,474,,,-0.001910803977807518,91.40466673374176,0.5814347406849265,0.0032526361883924515,425.6
71834,474,500.0,500,,,,,
72030,475,196.0,196,,,,,
72196,476,166.0,166,,,,,
72696,477,500.0,500,,,,,
72970,478,274.0,274,,,,,
73470,479,500.0,500,,,,,
73728,480,,,-0.0037955835257889705,87.7449280500412,0.5838234964758158,0.0034948229790089267,
73759,480,289.0,289,,,,,
73934,481,175.0,175,,,,,
74116,482,182.0,182,,,,,
74386,483,270.0,270,,,,,
74546,484,160.0,160,,,,,
74676,485,130.0,130,,,,,
74892,486,216.0,216,,,,,
75238,487,346.0,346,,,,,
75531,488,293.0,293,,,,,
75776,489,,,-0.0006160448712762446,81.85717804431916,0.586842836253345,0.0013698461372556067,
75810,489,279.0,279,,,,,
76310,490,500.0,500,,,,,
76519,491,209.0,209,,,,,
76702,492,183.0,183,,,,,
77153,493,451.0,451,,,,,
77343,494,190.0,190,,,,,
77553,495,210.0,210,,,,,
77824,496,,,-0.0030809307238087056,85.15888888835907,0.5727820683270692,0.0062887767409641636,
78053,496,500.0,500,,,,,
78553,497,500.0,500,,,,,
79053,498,500.0,500,,,,,
79553,499,500.0,500,,,,,
79807,500,254.0,254,,,,,
79872,501,,,-0.001539637372479774,88.3515210390091,0.5747298259288073,0.004525602823164128,
80307,501,500.0,500,,,,,
80542,502,235.0,235,,,,,
81042,503,500.0,500,,,,,
81542,504,500.0,500,,,,,
81920,505,,,-0.0009890104032820092,88.3710860967636,0.5724175866693259,0.003361279990701868,500.0
82042,505,500.0,500,,,,,
82542,506,500.0,500,,,,,
82966,507,424.0,424,,,,,
83356,508,390.0,390,,,,,
83856,509,500.0,500,,,,,
83968,510,,,-0.0033562705182703214,86.46351428031922,0.57874212320894,0.002823810634376412,
84271,510,415.0,415,,,,,
84771,511,500.0,500,,,,,
85271,512,500.0,500,,,,,
85771,513,500.0,500,,,,,
86016,514,,,-0.0012951828975928947,87.86711504459382,0.5880810594186187,0.003364670534679716,
86271,514,500.0,500,,,,,
86771,515,500.0,500,,,,,
87107,516,336.0,336,,,,,
87607,517,500.0,500,,,,,
88064,518,,,-0.0001832541427575052,86.82148611545563,0.5846819218248129,0.0026088716569916113,
88107,518,500.0,500,,,,,
88607,519,500.0,500,,,,,
89107,520,500.0,500,,,,,
89607,521,500.0,500,,,,,
90107,522,500.0,500,,,,,
90112,523,,,-0.0010656655445927753,87.54710969924926,0.5881436564028263,0.0026875979003030273,500.0
90439,523,332.0,332,,,,,
90919,524,480.0,480,,,,,
91419,525,500.0,500,,,,,
91614,526,195.0,195,,,,,
91946,527,332.0,332,,,,,
92160,528,,,-0.007897662176401355,84.03387928009033,0.5918168425559998,0.006525270575000188,
92442,528,496.0,496,,,,,
92723,529,281.0,281,,,,,
93065,530,342.0,342,,,,,
93265,531,200.0,200,,,,,
93439,532,174.0,174,,,,,
93586,533,147.0,147,,,,,
93830,534,244.0,244,,,,,
94048,535,218.0,218,,,,,
94208,536,,,-0.002515065562329255,78.15125246047974,0.5979400454089046,0.004180101935166656,
94252,536,204.0,204,,,,,
94587,537,335.0,335,,,,,
94826,538,239.0,239,,,,,
94987,539,161.0,161,,,,,
95160,540,173.0,173,,,,,
95653,541,493.0,493,,,,,
95872,542,219.0,219,,,,,
96212,543,340.0,340,,,,,
96256,544,,,-0.009242672237451188,76.78541769981385,0.6105845641344786,0.003745430270635464,
96475,544,263.0,263,,,,,
96901,545,426.0,426,,,,,
96972,546,71.0,71,,,,,
97157,547,185.0,185,,,,,
97287,548,130.0,130,,,,,
97525,549,238.0,238,,,,,
97658,550,133.0,133,,,,,
97828,551,170.0,170,,,,,
98032,552,204.0,204,,,,,
98252,553,220.0,220,,,,,
98304,554,,,-0.008944842891651206,71.85037306547164,0.5971414864063262,0.006844801278761292,
98465,554,213.0,213,,,,,
98835,555,370.0,370,,,,,
99099,556,264.0,264,,,,,
99599,557,500.0,500,,,,,
100099,558,500.0,500,,,,,
100352,559,,,-0.0013212551828473806,78.83985426425934,0.5872093902900815,0.005114254291211763,500.0
100357,559,258.0,258,,,,,
100625,560,268.0,268,,,,,
101125,561,500.0,500,,,,,
101625,562,500.0,500,,,,,
102125,563,500.0,500,,,,,
102400,564,,,-0.004162493915646337,80.8993512392044,0.5829079777002335,0.0050473895277008424,
102625,564,500.0,500,,,,,
103125,565,500.0,500,,,,,
103600,566,475.0,475,,,,,
104100,567,500.0,500,,,,,
104448,568,,,-0.0032787027797894553,80.7634908914566,0.5660648804157973,0.005409311955601488,
104600,568,500.0,500,,,,,
105073,569,473.0,473,,,,,
105495,570,422.0,422,,,,,
105995,571,500.0,500,,,,,
106495,572,500.0,500,,,,,
106496,573,,,-0.0009689641126897186,79.35518181324005,0.5794722445309162,0.003846344325887696,
106995,573,500.0,500,,,,,
107495,574,500.0,500,,,,,
107995,575,500.0,500,,,,,
108495,576,500.0,500,,,,,
108544,577,,,-0.0005260757840005681,80.16493344306946,0.5682505717501044,0.0032807260847139545,
108995,577,500.0,500,,,,,
109362,578,367.0,367,,,,,
109862,579,500.0,500,,,,,
110362,580,500.0,500,,,,,
110592,581,,,-0.004380968942132313,79.47963213920593,0.5564981224015355,0.0025976367224768036,500.0
110862,581,500.0,500,,,,,
111009,582,147.0,147,,,,,
111509,583,500.0,500,,,,,
112009,584,500.0,500,,,,,
112509,585,500.0,500,,,,,
112640,586,,,-0.0014151482901070267,77.8276879787445,0.5654286269098521,0.004799710654822329,
112917,586,408.0,408,,,,,
113417,587,500.0,500,,,,,
113917,588,500.0,500,,,,,
114126,589,209.0,209,,,,,
114626,590,500.0,500,,,,,
114688,591,,,-0.0012968943614396268,76.74333901405335,0.5629663361236453,0.004012103350243034,
115017,591,391.0,391,,,,,
115517,592,500.0,500,,,,,
116017,593,500.0,500,,,,,
116517,594,500.0,500,,,,,
116736,595,,,-0.005214901524595916,78.50899465084076,0.5652784975245595,0.006840669083385384,
117017,595,500.0,500,,,,,
117517,596,500.0,500,,,,,
118017,597,500.0,500,,,,,
118517,598,500.0,500,,,,,
118784,599,,,-0.0022350531769916417,77.89936237335205,0.563835191167891,0.004281692620020305,
118820,599,303.0,303,,,,,
119320,600,500.0,500,,,,,
119820,601,500.0,500,,,,,
120320,602,500.0,500,,,,,
120820,603,500.0,500,,,,,
120832,604,,,-0.0017236480955034495,77.29274649620056,0.5601768245920539,0.003829937513883418,500.0
121320,604,500.0,500,,,,,
121820,605,500.0,500,,,,,
122320,606,500.0,500,,,,,
122820,607,500.0,500,,,,,
122880,608,,,-0.0009265694359783083,77.06317298412323,0.5641242587938905,0.003614722809335559,
123320,608,500.0,500,,,,,
123369,609,49.0,49,,,,,
123869,610,500.0,500,,,,,
124369,611,500.0,500,,,,,
124869,612,500.0,500,,,,,
124928,613,,,-0.006847144360654056,75.92492082118989,0.5616654258221387,0.00686134953828318,
125369,613,500.0,500,,,,,
125869,614,500.0,500,,,,,
126369,615,500.0,500,,,,,
126869,616,500.0,500,,,,,
126976,617,,,-0.0033246441860683264,76.30477275848389,0.5506351299583911,0.006397118411041643,
127369,617,500.0,500,,,,,
127869,618,500.0,500,,,,,
128369,619,500.0,500,,,,,
128869,620,500.0,500,,,,,
129024,621,,,-0.0024562527163652704,76.01103014945984,0.5660142393782734,0.0058207442125336765,
129369,621,500.0,500,,,,,
129735,622,366.0,366,,,,,
130235,623,500.0,500,,,,,
130609,624,374.0,374,,,,,
131072,625,,,-0.006525200657779351,76.24264144897461,0.566242746822536,0.004960017723626481,500.0
131109,625,500.0,500,,,,,
131609,626,500.0,500,,,,,
131896,627,287.0,287,,,,,
132396,628,500.0,500,,,,,
132896,629,500.0,500,,,,,
133120,630,,,-0.0007248046982567758,74.11743714809418,0.5694580554962159,0.0019860403233082145,
133396,630,500.0,500,,,,,
133896,631,500.0,500,,,,,
134396,632,500.0,500,,,,,
134585,633,189.0,189,,,,,
135085,634,500.0,500,,,,,
135168,635,,,-0.0040242718736408275,73.21985640525818,0.5664801022037864,0.003740740557087477,
135585,635,500.0,500,,,,,
136085,636,500.0,500,,,,,
